drug_name,url
Abatacept,https://www.drugs.com/abatacept.html
Abatuss DMX,https://www.drugs.com/mtm/abatuss-dmx.html
Abavite,https://www.drugs.com/pro/abavite.html
Abbokinase,https://www.drugs.com/cons/abbokinase.html
Abciximab,https://www.drugs.com/cons/abciximab.html
Abecma,https://www.drugs.com/abecma.html
Abelcet,https://www.drugs.com/mtm/abelcet.html
Abemaciclib,https://www.drugs.com/abemaciclib.html
Abilify,https://www.drugs.com/abilify.html
Abilify (Aripiprazole Intramuscular),https://www.drugs.com/cons/abilify-aripiprazole-intramuscular.html
Abilify Asimtufii,https://www.drugs.com/abilify-asimtufii.html
Abilify Asimtufii injection,https://www.drugs.com/mtm/abilify-asimtufii-injection.html
Abilify Discmelt,https://www.drugs.com/cons/abilify-discmelt.html
Abilify Maintena,https://www.drugs.com/abilify-maintena.html
Abilify Maintena Prefilled Syringe injection,https://www.drugs.com/mtm/abilify-maintena-prefilled-syringe-injection.html
Abilify Mycite,https://www.drugs.com/cons/abilify-mycite.html
Abilify MyCite Maintenance Kit oral with sensor,https://www.drugs.com/mtm/abilify-mycite-maintenance-kit-oral-with-sensor.html
Abilify MyCite Starter Kit oral with sensor,https://www.drugs.com/mtm/abilify-mycite-starter-kit-oral-with-sensor.html
Abiraterone,https://www.drugs.com/abiraterone.html
Abiraterone Acetate,https://www.drugs.com/pro/abiraterone-acetate.html
Abiraterone and niraparib,https://www.drugs.com/mtm/abiraterone-and-niraparib.html
"Abiraterone, micronized",https://www.drugs.com/cons/abiraterone-micronized.html
Ablavar,https://www.drugs.com/cons/ablavar.html
Ablysinol,https://www.drugs.com/pro/ablysinol.html
AbobotulinumtoxinA,https://www.drugs.com/mtm/abobotulinumtoxina.html
Abraxane,https://www.drugs.com/abraxane.html
Abreva,https://www.drugs.com/mtm/abreva.html
Abrilada,https://www.drugs.com/abrilada.html
Abrocitinib,https://www.drugs.com/mtm/abrocitinib.html
Abrysvo,https://www.drugs.com/abrysvo.html
Absorbine Athletes Foot,https://www.drugs.com/mtm/absorbine-athletes-foot.html
Absorbine Jr. Antifungal,https://www.drugs.com/mtm/absorbine-jr-antifungal.html
Absorica,https://www.drugs.com/mtm/absorica.html
Absorica LD,https://www.drugs.com/mtm/absorica-ld.html
Abstral,https://www.drugs.com/abstral.html
Abstral Sublingual Tablet,https://www.drugs.com/pro/abstral-sublingual-tablet.html
A-Caro-25,https://www.drugs.com/cons/a-caro-25.html
Acacia Gum,https://www.drugs.com/npp/acacia-gum.html
Acai,https://www.drugs.com/npc/acai.html
Acalabrutinib,https://www.drugs.com/acalabrutinib.html
ACAM2000,https://www.drugs.com/acam2000.html
Acamprosate,https://www.drugs.com/acamprosate.html
Acanya,https://www.drugs.com/acanya.html
Acarbose,https://www.drugs.com/mtm/acarbose.html
Accelerated Covid-19 Test Kit,https://www.drugs.com/pro/accelerated-covid-19-test-kit.html
Accentrate PNV,https://www.drugs.com/pro/accentrate-pnv.html
AccessPak for HIV PEP Basic,https://www.drugs.com/mtm/accesspak-for-hiv-pep-basic.html
AccessPak for HIV PEP Expanded with Kaletra,https://www.drugs.com/mtm/accesspak-for-hiv-pep-expanded-with-kaletra.html
AccessPak for HIV PEP Expanded with Viracept,https://www.drugs.com/mtm/accesspak-for-hiv-pep-expanded-with-viracept.html
Acclean,https://www.drugs.com/pro/acclean.html
Acclean 60 Second Fluoride Treatment,https://www.drugs.com/pro/acclean-60-second-fluoride-treatment.html
Acclean Plus,https://www.drugs.com/pro/acclean-plus.html
Accolate,https://www.drugs.com/mtm/accolate.html
Accretropin,https://www.drugs.com/accretropin.html
Accrufer,https://www.drugs.com/mtm/accrufer.html
Accucaine,https://www.drugs.com/pro/accucaine.html
Accuneb,https://www.drugs.com/cons/accuneb.html
Accupril,https://www.drugs.com/accupril.html
Accuretic,https://www.drugs.com/mtm/accuretic.html
Accutane,https://www.drugs.com/accutane.html
ACD  A,https://www.drugs.com/pro/acd-a.html
ACD Blood Pack Units,https://www.drugs.com/pro/acd-blood-pack-units.html
Acebutolol,https://www.drugs.com/mtm/acebutolol.html
Acella Antipyrine and Benzocaine Otic Solution,https://www.drugs.com/pro/acella-antipyrine-and-benzocaine-otic-solution.html
Aceon,https://www.drugs.com/aceon.html
Acephen,https://www.drugs.com/cons/acephen.html
Acephen rectal,https://www.drugs.com/mtm/acephen-rectal.html
Acerola,https://www.drugs.com/mtm/acerola.html
Acetadote,https://www.drugs.com/acetadote.html
Acetaminophen,https://www.drugs.com/acetaminophen.html
Acetaminophen (Intravenous),https://www.drugs.com/cons/acetaminophen-intravenous.html
"Acetaminophen (Oral, Rectal)",https://www.drugs.com/cons/acetaminophen-oral-rectal.html
Acetaminophen and benzhydrocodone,https://www.drugs.com/mtm/acetaminophen-and-benzhydrocodone.html
Acetaminophen and butalbital,https://www.drugs.com/mtm/acetaminophen-and-butalbital.html
Acetaminophen and caffeine,https://www.drugs.com/mtm/acetaminophen-and-caffeine.html
Acetaminophen and chlorpheniramine,https://www.drugs.com/mtm/acetaminophen-and-chlorpheniramine.html
Acetaminophen and codeine,https://www.drugs.com/mtm/acetaminophen-and-codeine.html
Acetaminophen and Codeine Oral Solution,https://www.drugs.com/pro/acetaminophen-and-codeine-oral-solution.html
Acetaminophen and dextromethorphan,https://www.drugs.com/mtm/acetaminophen-and-dextromethorphan.html
Acetaminophen and diphenhydramine,https://www.drugs.com/mtm/acetaminophen-and-diphenhydramine.html
Acetaminophen and ibuprofen,https://www.drugs.com/mtm/acetaminophen-and-ibuprofen.html
Acetaminophen and Oxycodone,https://www.drugs.com/acetaminophen-and-oxycodone.html
Acetaminophen and phenylephrine,https://www.drugs.com/mtm/acetaminophen-and-phenylephrine.html
Acetaminophen and phenyltoloxamine,https://www.drugs.com/mtm/acetaminophen-and-phenyltoloxamine.html
Acetaminophen and pseudoephedrine,https://www.drugs.com/mtm/acetaminophen-and-pseudoephedrine.html
Acetaminophen and tramadol,https://www.drugs.com/mtm/acetaminophen-and-tramadol.html
Acetaminophen Congestion and Pain,https://www.drugs.com/mtm/acetaminophen-congestion-and-pain.html
Acetaminophen injection,https://www.drugs.com/mtm/acetaminophen-injection.html
Acetaminophen rectal,https://www.drugs.com/mtm/acetaminophen-rectal.html
"Acetaminophen, aspirin, and caffeine",https://www.drugs.com/mtm/acetaminophen-aspirin-and-caffeine.html
"Acetaminophen, butalbital, and caffeine",https://www.drugs.com/mtm/acetaminophen-butalbital-and-caffeine.html
"Acetaminophen, butalbital, caffeine, and codeine",https://www.drugs.com/mtm/acetaminophen-butalbital-caffeine-and-codeine.html
"Acetaminophen, caffeine, and dihydrocodeine",https://www.drugs.com/mtm/acetaminophen-caffeine-and-dihydrocodeine.html
"Acetaminophen, caffeine, and magnesium salicylate",https://www.drugs.com/mtm/acetaminophen-caffeine-and-magnesium-salicylate.html
"Acetaminophen, chlorpheniramine, and dextromethorphan",https://www.drugs.com/mtm/acetaminophen-chlorpheniramine-and-dextromethorphan.html
"Acetaminophen, chlorpheniramine, and phenylephrine",https://www.drugs.com/mtm/acetaminophen-chlorpheniramine-and-phenylephrine.html
"Acetaminophen, chlorpheniramine, dextromethorphan, and pseudoephedrine",https://www.drugs.com/mtm/acetaminophen-chlorpheniramine-dextromethorphan-and-pseudoephedrine.html
"Acetaminophen, dextromethorphan, and diphenhydramine",https://www.drugs.com/mtm/acetaminophen-dextromethorphan-and-diphenhydramine.html
"Acetaminophen, dextromethorphan, and doxylamine",https://www.drugs.com/mtm/acetaminophen-dextromethorphan-and-doxylamine.html
"Acetaminophen, dextromethorphan, and phenylephrine",https://www.drugs.com/mtm/acetaminophen-dextromethorphan-and-phenylephrine.html
"Acetaminophen, dextromethorphan, and triprolidine",https://www.drugs.com/mtm/acetaminophen-dextromethorphan-and-triprolidine.html
"Acetaminophen, dextromethorphan, doxylamine, and phenylephrine",https://www.drugs.com/mtm/acetaminophen-dextromethorphan-doxylamine-and-phenylephrine.html
"Acetaminophen, dextromethorphan, guaifenesin, and phenylephrine",https://www.drugs.com/mtm/acetaminophen-dextromethorphan-guaifenesin-and-phenylephrine.html
"Acetaminophen, dextromethorphan, guaifenesin, and pseudoephedrine",https://www.drugs.com/mtm/acetaminophen-dextromethorphan-guaifenesin-and-pseudoephedrine.html
"Acetaminophen, dextromethorphan, phenylephrine, and triprolidine",https://www.drugs.com/mtm/acetaminophen-dextromethorphan-phenylephrine-and-triprolidine.html
"Acetaminophen, diphenhydramine, and phenylephrine",https://www.drugs.com/mtm/acetaminophen-diphenhydramine-and-phenylephrine.html
"Acetaminophen, magnesium salicylate, and pamabrom",https://www.drugs.com/mtm/acetaminophen-magnesium-salicylate-and-pamabrom.html
"Acetaminophen, pheniramine, and phenylephrine",https://www.drugs.com/mtm/acetaminophen-pheniramine-and-phenylephrine.html
Acetasol HC,https://www.drugs.com/cons/acetasol-hc.html
Acetasol HC otic,https://www.drugs.com/mtm/acetasol-hc-otic.html
Acetazolamide,https://www.drugs.com/mtm/acetazolamide.html
Acetazolamide (Intravenous),https://www.drugs.com/cons/acetazolamide-intravenous.html
Acetazolamide Capsules,https://www.drugs.com/pro/acetazolamide-capsules.html
Acetazolamide Tablets,https://www.drugs.com/pro/acetazolamide-tablets.html
"AcetaZOLAMIDE, acetaZOLAMIDE Sodium",https://www.drugs.com/monograph/acetazolamide-acetazolamide-sodium.html
Acetic Acid,https://www.drugs.com/pro/acetic-acid.html
Acetic acid and hydrocortisone otic,https://www.drugs.com/mtm/acetic-acid-and-hydrocortisone-otic.html
Acetic acid irrigant,https://www.drugs.com/mtm/acetic-acid-irrigant.html
Acetic Acid Irrigation,https://www.drugs.com/pro/acetic-acid-irrigation.html
Acetic acid otic,https://www.drugs.com/mtm/acetic-acid-otic.html
Acetic acid vaginal,https://www.drugs.com/mtm/acetic-acid-vaginal.html
Acetohydroxamic acid,https://www.drugs.com/mtm/acetohydroxamic-acid.html
"Acetone, isopropyl alcohol, and polysorbate",https://www.drugs.com/cons/acetone-isopropyl-alcohol-and-polysorbate.html
Acetylcholine,https://www.drugs.com/monograph/acetylcholine.html
Acetylcysteine,https://www.drugs.com/mtm/acetylcysteine.html
Acetylcysteine (Intravenous),https://www.drugs.com/cons/acetylcysteine-intravenous.html
Acetylcysteine (Oral),https://www.drugs.com/cons/acetylcysteine-oral.html
Acetylcysteine inhalation,https://www.drugs.com/mtm/acetylcysteine-inhalation.html
Acetylcysteine Injection,https://www.drugs.com/pro/acetylcysteine-injection.html
Acetylcysteine Solution,https://www.drugs.com/pro/acetylcysteine-solution.html
"Acetylcysteine, Acetylcysteine Lysine(Local, Systemic)",https://www.drugs.com/monograph/acetylcysteine-acetylcysteine-lysine-local-systemic.html
Achromycin V,https://www.drugs.com/pro/achromycin-v.html
Aci-Jel vaginal,https://www.drugs.com/mtm/aci-jel-vaginal.html
Acid Controller Original Strength,https://www.drugs.com/pro/acid-controller-original-strength.html
Acid Gone,https://www.drugs.com/mtm/acid-gone.html
Acid Gone Extra Strength,https://www.drugs.com/mtm/acid-gone-extra-strength.html
Acid Jelly vaginal,https://www.drugs.com/mtm/acid-jelly-vaginal.html
Acidic Vaginal Jelly vaginal,https://www.drugs.com/mtm/acidic-vaginal-jelly-vaginal.html
Acidophilus,https://www.drugs.com/acidophilus.html
Acidophilus Extra Strength,https://www.drugs.com/mtm/acidophilus-extra-strength.html
Acidophilus Probiotic Blend,https://www.drugs.com/mtm/acidophilus-probiotic-blend.html
Acidophilus with Pectin,https://www.drugs.com/mtm/acidophilus-with-pectin.html
Aciphex,https://www.drugs.com/aciphex.html
AcipHex Sprinkle,https://www.drugs.com/mtm/aciphex-sprinkle.html
Acitretin,https://www.drugs.com/mtm/acitretin.html
Acitretin Capsules,https://www.drugs.com/pro/acitretin-capsules.html
Ackee,https://www.drugs.com/npp/ackee.html
Aclasta,https://www.drugs.com/aclasta.html
Aclidinium,https://www.drugs.com/mtm/aclidinium.html
Aclidinium and formoterol,https://www.drugs.com/mtm/aclidinium-and-formoterol.html
Aclovate,https://www.drugs.com/mtm/aclovate.html
Acne,https://www.drugs.com/cons/acne.html
Acne 10 Gel,https://www.drugs.com/cons/acne-10-gel.html
Acne Foaming Cream Face Cleanser,https://www.drugs.com/mtm/acne-foaming-cream-face-cleanser.html
Acne Wash,https://www.drugs.com/cons/acne-wash.html
Acne-Clear,https://www.drugs.com/mtm/acne-clear.html
Acnevir,https://www.drugs.com/mtm/acnevir.html
Acomplia,https://www.drugs.com/acomplia.html
Aconite,https://www.drugs.com/npp/aconite.html
Acoramidis,https://www.drugs.com/mtm/acoramidis.html
Acrivastine and pseudoephedrine,https://www.drugs.com/cons/acrivastine-and-pseudoephedrine.html
ACT COVID-19 Antibody Test,https://www.drugs.com/pro/act-covid-19-antibody-test.html
ACT Fluoride Rinse,https://www.drugs.com/mtm/act-fluoride-rinse.html
Actamin,https://www.drugs.com/mtm/actamin.html
Actamin Maximum Strength,https://www.drugs.com/cons/actamin-maximum-strength.html
Actemra,https://www.drugs.com/actemra.html
Acthar Gel,https://www.drugs.com/mtm/acthar-gel.html
Acthar Gel Pre-filled SelfJect Injector,https://www.drugs.com/mtm/acthar-gel-pre-filled-selfject-injector.html
"Acthar Gel, H.P.",https://www.drugs.com/mtm/acthar-gel-h-p.html
ActHIB,https://www.drugs.com/cons/acthib.html
ActHIB (Hib),https://www.drugs.com/mtm/acthib-hib.html
Acthrel,https://www.drugs.com/cons/acthrel.html
Acticin,https://www.drugs.com/mtm/acticin.html
Acticlate,https://www.drugs.com/pro/acticlate.html
Actidose,https://www.drugs.com/pro/actidose.html
Actidose-Aqua,https://www.drugs.com/mtm/actidose-aqua.html
Actifed,https://www.drugs.com/actifed.html
Actifed Cold and Allergy,https://www.drugs.com/mtm/actifed-cold-and-allergy.html
Actigall,https://www.drugs.com/cons/actigall.html
Actimmune,https://www.drugs.com/mtm/actimmune.html
Actiq,https://www.drugs.com/actiq.html
Actisite,https://www.drugs.com/cons/actisite.html
Activase,https://www.drugs.com/mtm/activase.html
Activated charcoal,https://www.drugs.com/mtm/activated-charcoal.html
Activella,https://www.drugs.com/cons/activella.html
ActivICE,https://www.drugs.com/mtm/activice.html
Actonel,https://www.drugs.com/actonel.html
Actonel with Calcium,https://www.drugs.com/actonel_calcium.html
Actoplus Met,https://www.drugs.com/actoplus_met.html
Actoplus Met XR,https://www.drugs.com/mtm/actoplus-met-xr.html
Actos,https://www.drugs.com/actos.html
Acuflex,https://www.drugs.com/acuflex.html
Acular,https://www.drugs.com/mtm/acular.html
Acular LS,https://www.drugs.com/mtm/acular-ls.html
Acular PF,https://www.drugs.com/cons/acular-pf.html
Acunistat-30 Injection System,https://www.drugs.com/pro/acunistat-30-injection-system.html
Acunistat-60 Injection System,https://www.drugs.com/pro/acunistat-60-injection-system.html
Acunivive 15 Injection System,https://www.drugs.com/pro/acunivive-15-injection-system.html
Acunivive 30 Injection System,https://www.drugs.com/pro/acunivive-30-injection-system.html
Acunivive 60 Injection System,https://www.drugs.com/pro/acunivive-60-injection-system.html
Acunivive 90 Injection System,https://www.drugs.com/pro/acunivive-90-injection-system.html
Acunol,https://www.drugs.com/pro/acunol.html
Acuvail,https://www.drugs.com/acuvail.html
Acuvue Theravision with Ketotifen,https://www.drugs.com/pro/acuvue-theravision-with-ketotifen.html
Acyclovir,https://www.drugs.com/acyclovir.html
Acyclovir (Buccal mucosa),https://www.drugs.com/cons/acyclovir-buccal-mucosa.html
Acyclovir (Ophthalmic),https://www.drugs.com/cons/acyclovir-ophthalmic.html
"Acyclovir (Oral, Intravenous)",https://www.drugs.com/cons/acyclovir-oral-intravenous.html
Acyclovir and hydrocortisone,https://www.drugs.com/cons/acyclovir-and-hydrocortisone.html
Acyclovir and hydrocortisone topical,https://www.drugs.com/mtm/acyclovir-and-hydrocortisone-topical.html
Acyclovir Capsules,https://www.drugs.com/pro/acyclovir-capsules.html
Acyclovir Cream,https://www.drugs.com/pro/acyclovir-cream.html
Acyclovir injection,https://www.drugs.com/mtm/acyclovir-injection.html
Acyclovir IV Infusion,https://www.drugs.com/pro/acyclovir-iv-infusion.html
Acyclovir Ointment,https://www.drugs.com/pro/acyclovir-ointment.html
Acyclovir Oral Suspension,https://www.drugs.com/pro/acyclovir-oral-suspension.html
Acyclovir Tablets,https://www.drugs.com/pro/acyclovir-tablets.html
Acyclovir topical,https://www.drugs.com/mtm/acyclovir-topical.html
Acys-5,https://www.drugs.com/cons/acys-5.html
Aczone,https://www.drugs.com/aczone.html
Adacel,https://www.drugs.com/adacel.html
Adacel Tdap,https://www.drugs.com/mtm/adacel-tdap.html
Adagen,https://www.drugs.com/cons/adagen.html
Adagrasib,https://www.drugs.com/mtm/adagrasib.html
Adakveo,https://www.drugs.com/adakveo.html
Adakveo Injection,https://www.drugs.com/pro/adakveo-injection.html
Adalat CC,https://www.drugs.com/adalat.html
Adalimumab,https://www.drugs.com/adalimumab.html
Adalimumab Injection,https://www.drugs.com/pro/adalimumab-injection.html
Adalimumab-aacf,https://www.drugs.com/cons/adalimumab-aacf.html
Adalimumab-aaty,https://www.drugs.com/cons/adalimumab-aaty.html
Adalimumab-adaz,https://www.drugs.com/cons/adalimumab-adaz.html
Adalimumab-adbm,https://www.drugs.com/cons/adalimumab-adbm.html
Adalimumab-afzb,https://www.drugs.com/cons/adalimumab-afzb.html
Adalimumab-aqvh,https://www.drugs.com/cons/adalimumab-aqvh.html
Adalimumab-atto,https://www.drugs.com/cons/adalimumab-atto.html
Adalimumab-bwwd,https://www.drugs.com/cons/adalimumab-bwwd.html
Adalimumab-fkjp,https://www.drugs.com/cons/adalimumab-fkjp.html
Adalimumab-ryvk,https://www.drugs.com/pro/adalimumab-ryvk.html
"Adamts13, recombinant-krhn",https://www.drugs.com/cons/adamts13-recombinant-krhn.html
Adapalene,https://www.drugs.com/cons/adapalene.html
Adapalene and benzoyl peroxide,https://www.drugs.com/cons/adapalene-and-benzoyl-peroxide.html
Adapalene and Benzoyl Peroxide Gel,https://www.drugs.com/pro/adapalene-and-benzoyl-peroxide-gel.html
Adapalene and benzoyl peroxide topical,https://www.drugs.com/mtm/adapalene-and-benzoyl-peroxide-topical.html
Adapalene Cream,https://www.drugs.com/pro/adapalene-cream.html
Adapalene Solution,https://www.drugs.com/pro/adapalene-solution.html
Adapalene topical,https://www.drugs.com/mtm/adapalene-topical.html
Adasuve,https://www.drugs.com/adasuve.html
Adbry,https://www.drugs.com/adbry.html
Adcetris,https://www.drugs.com/adcetris.html
Adcirca,https://www.drugs.com/adcirca.html
Addamel N,https://www.drugs.com/pro/addamel-n.html
Addaprin,https://www.drugs.com/cons/addaprin.html
Adderall,https://www.drugs.com/adderall.html
Adderall XR,https://www.drugs.com/mtm/adderall-xr.html
Additive Formula 3,https://www.drugs.com/pro/additive-formula-3.html
Addyi,https://www.drugs.com/addyi.html
Adefovir,https://www.drugs.com/mtm/adefovir.html
Adefovir Dipivoxil,https://www.drugs.com/pro/adefovir-dipivoxil.html
Adempas,https://www.drugs.com/adempas.html
Adempas Tablets,https://www.drugs.com/pro/adempas-tablets.html
Adenocard,https://www.drugs.com/mtm/adenocard.html
Adenoscan,https://www.drugs.com/mtm/adenoscan.html
Adenosine,https://www.drugs.com/mtm/adenosine.html
Adenovirus Type 4-and Type-7 Vaccine Live,https://www.drugs.com/pro/adenovirus-type-4-and-type-7-vaccine-live.html
Adenovirus Vaccine,https://www.drugs.com/monograph/adenovirus-vaccine.html
"Adenovirus vaccine, live",https://www.drugs.com/cons/adenovirus-vaccine-live.html
Adhansia XR,https://www.drugs.com/pro/adhansia-xr.html
Adipex-P,https://www.drugs.com/adipex.html
Adlarity,https://www.drugs.com/adlarity.html
Adlarity skin patch,https://www.drugs.com/mtm/adlarity-skin-patch.html
Adlyxin,https://www.drugs.com/adlyxin.html
Admelog,https://www.drugs.com/admelog.html
Ado-trastuzumab emtansine,https://www.drugs.com/mtm/ado-trastuzumab-emtansine.html
Adoxa CK,https://www.drugs.com/cons/adoxa-ck.html
Adoxa Pak,https://www.drugs.com/cons/adoxa-pak.html
Adoxa TT,https://www.drugs.com/cons/adoxa-tt.html
Adrenaclick,https://www.drugs.com/cons/adrenaclick.html
Adrenalin,https://www.drugs.com/mtm/adrenalin.html
Adrenalin (Epinephrine Inhalation),https://www.drugs.com/cons/adrenalin-epinephrine-inhalation.html
Adrenalin (Epinephrine Injection),https://www.drugs.com/cons/adrenalin-epinephrine-injection.html
Adrenalin Chloride,https://www.drugs.com/cons/adrenalin-chloride.html
Adrenalin Injection,https://www.drugs.com/pro/adrenalin-injection.html
AdreView,https://www.drugs.com/adreview.html
Adriamycin,https://www.drugs.com/mtm/adriamycin.html
Adrucil,https://www.drugs.com/cons/adrucil.html
Adrucil injection,https://www.drugs.com/mtm/adrucil-injection.html
Adsol Red Cell Preservation System,https://www.drugs.com/pro/adsol-red-cell-preservation-system.html
Adstiladrin,https://www.drugs.com/adstiladrin.html
Adthyza,https://www.drugs.com/pro/adthyza.html
Aducanumab,https://www.drugs.com/mtm/aducanumab.html
Aducanumab-avwa,https://www.drugs.com/cons/aducanumab-avwa.html
Aduhelm,https://www.drugs.com/aduhelm.html
Adult Cough DM,https://www.drugs.com/mtm/adult-cough-dm.html
Advair,https://www.drugs.com/advair.html
Advair Diskus,https://www.drugs.com/mtm/advair-diskus.html
Advair HFA,https://www.drugs.com/mtm/advair-hfa.html
Advanced Eye Relief Dry Eye,https://www.drugs.com/mtm/advanced-eye-relief-dry-eye.html
Advanced Eye Relief Maximum Redness,https://www.drugs.com/mtm/advanced-eye-relief-maximum-redness.html
Advantage Multi for Dogs,https://www.drugs.com/pro/advantage-multi-for-dogs.html
Advate,https://www.drugs.com/advate.html
Advicor,https://www.drugs.com/cons/advicor.html
Advil,https://www.drugs.com/advil.html
Advil Allergy and Congestion Relief,https://www.drugs.com/pro/advil-allergy-and-congestion-relief.html
Advil Allergy Sinus,https://www.drugs.com/advil_allergy_sinus.html
Advil Childrens,https://www.drugs.com/pro/advil-childrens.html
Advil Childrens Allergy Sinus,https://www.drugs.com/mtm/advil-childrens-allergy-sinus.html
Advil Cold and Sinus,https://www.drugs.com/mtm/advil-cold-and-sinus.html
Advil Cold and Sinus Liqui-Gel,https://www.drugs.com/mtm/advil-cold-and-sinus-liqui-gel.html
Advil Dual Action With Acetaminophen,https://www.drugs.com/mtm/advil-dual-action-with-acetaminophen.html
Advil Infants Concentrated Drops,https://www.drugs.com/pro/advil-infants-concentrated-drops.html
Advil Junior Strength,https://www.drugs.com/pro/advil-junior-strength.html
Advil Liqui-Gels,https://www.drugs.com/pro/advil-liqui-gels.html
Advil Migraine,https://www.drugs.com/mtm/advil-migraine.html
Advil Multi-Symptom Cold,https://www.drugs.com/mtm/advil-multi-symptom-cold.html
Advil Multi-Symptom Cold and Flu,https://www.drugs.com/pro/advil-multi-symptom-cold-and-flu.html
Advil PM,https://www.drugs.com/mtm/advil-pm.html
Advil PM Liqui-Gels,https://www.drugs.com/mtm/advil-pm-liqui-gels.html
Advil Sinus Congestion and Pain,https://www.drugs.com/mtm/advil-sinus-congestion-and-pain.html
